community,agent_id,agent_role,tenure,live_here,household_id,household_size,household_monthly_income_rmb,unit_id,unit_type,unit_size_sqm,age,annual_income_rmb,role_prompt,ideal_weight,cluster,final_voting_weight
YongdaXincheng,A000002991,resident,renter,1,H000000842,3,6592.84,U000001245,M,85.62,49,71735.95,"You are a 49-year-old owner-occupier with an annual personal income of about 71,736 RMB and a current housing area of about 85.6 sqm.",0.8564570605929417,2.0,698.261142152387
YongdaXincheng,A000003127,resident,renter,1,H000000883,3,5754.99,U000001311,M,84.51,53,92593.57,"You are a 53-year-old owner-occupier with an annual personal income of about 92,594 RMB and a current housing area of about 84.5 sqm.",0.6868609189777118,3.0,559.9910513355723
YongdaXincheng,A000005558,resident,renter,1,H000001610,3,5187.28,U000002472,M,82.19,50,54799.45,"You are a 50-year-old owner-occupier with an annual personal income of about 54,799 RMB and a current housing area of about 82.2 sqm.",0.7464972201293603,,608.6119497692478
ZuanshiHuayuan,A000006150,resident,owner_occupier,1,H000001778,4,5220.3,U000002728,L,106.0,52,76309.08,"You are a 52-year-old owner-occupier with an annual personal income of about 76,309 RMB and a current housing area of about 106.0 sqm.",0.5035653695755761,,52.22027573907271
ZuanshiHuayuan,A000006197,resident,owner_occupier,1,H000001791,4,6271.46,U000002745,L,107.08,44,80797.56,"You are a 44-year-old owner-occupier with an annual personal income of about 80,798 RMB and a current housing area of about 107.1 sqm.",0.5426808449039587,1.0,56.27659301330195
ZuanshiHuayuan,A000006229,resident,owner_occupier,1,H000001800,5,9179.64,U000002755,L,109.15,51,89254.84,"You are a 51-year-old owner-occupier with an annual personal income of about 89,255 RMB and a current housing area of about 109.2 sqm.",0.7550672067407151,2.0,78.30128940511638
ZuanshiHuayuan,A000006294,resident,owner_occupier,1,H000001813,5,9730.14,U000002777,L,110.31,64,80593.49,"You are a 64-year-old owner-occupier with an annual personal income of about 80,593 RMB and a current housing area of about 110.3 sqm.",0.5604867665579116,3.0,58.123086427536215
ZuanshiHuayuan,A000006068,resident,owner_occupier,1,H000001758,5,9015.12,U000002704,L,122.17,61,90433.93,"You are a 61-year-old owner-occupier with an annual personal income of about 90,434 RMB and a current housing area of about 122.2 sqm.",0.4829144737655391,4.0,50.078755414972775
FulinLou,A000006385,resident,owner_occupier,1,H000001839,5,10217.3,U000002813,L,105.88,30,68170.74,"You are a 30-year-old owner-occupier with an annual personal income of about 68,171 RMB and a current housing area of about 105.9 sqm.",0.5543564935434275,0.0,88.3639606168458
FulinLou,A000006303,resident,owner_occupier,1,H000001817,5,9814.07,U000002782,L,100.46,43,103805.99,"You are a 43-year-old owner-occupier with an annual personal income of about 103,806 RMB and a current housing area of about 100.5 sqm.",0.600370356366205,1.0,95.69853179921138
FulinLou,A000006711,resident,owner_occupier,1,H000001908,5,9165.08,U000002941,L,115.48,36,97157.52,"You are a 36-year-old owner-occupier with an annual personal income of about 97,158 RMB and a current housing area of about 115.5 sqm.",0.544957100858981,2.0,86.86570529799539
FulinLou,A000006502,resident,owner_occupier,1,H000001863,4,7990.83,U000002854,L,113.81,43,135524.97,"You are a 43-year-old owner-occupier with an annual personal income of about 135,525 RMB and a current housing area of about 113.8 sqm.",0.5506057318273053,3.0,87.76609234177953
FulinLou,A000006466,resident,owner_occupier,1,H000001856,4,6382.49,U000002837,L,115.87,38,101778.3,"You are a 38-year-old owner-occupier with an annual personal income of about 101,778 RMB and a current housing area of about 115.9 sqm.",0.535170378441211,,85.30570994416793
