community,agent_id,agent_role,tenure,live_here,household_id,household_size,household_monthly_income_rmb,unit_id,unit_type,unit_size_sqm,age,annual_income_rmb,role_prompt
HuaduGuangmingxiangXiaoqu,A000000020,resident,owner_occupier,1,H000000006,5,6626.71,U000000008,L,125.32,38,93486.26,"You are a 38-year-old owner-occupier with an annual personal income of about 93,486 RMB and a current housing area of about 125.3 sqm."
HuaduGuangmingxiangXiaoqu,A000000021,resident,owner_occupier,1,H000000006,5,6626.71,U000000008,L,125.32,85,41463.37,"You are a 85-year-old owner-occupier with an annual personal income of about 41,463 RMB and a current housing area of about 125.3 sqm."
HuaduGuangmingxiangXiaoqu,A000000022,resident,owner_occupier,1,H000000006,5,6626.71,U000000008,L,125.32,60,61741.76,"You are a 60-year-old owner-occupier with an annual personal income of about 61,742 RMB and a current housing area of about 125.3 sqm."
HuaduGuangmingxiangXiaoqu,A000000023,resident,owner_occupier,1,H000000006,5,6626.71,U000000008,L,125.32,33,91449.35,"You are a 33-year-old owner-occupier with an annual personal income of about 91,449 RMB and a current housing area of about 125.3 sqm."
HuaduGuangmingxiangXiaoqu,A000000024,absentee_owner_vacant,owner_occupier,0,,0,15248.84,U000000009,M,82.02,60,182986.13,"You are a 60-year-old vacant owner with an annual personal income of about 182,986 RMB and a current housing area of about 82.0 sqm."
HuaduGuangmingxiangXiaoqu,A000000025,resident,renter,1,H000000007,1,2686.33,U000000010,S,59.16,4,0.0,You are a 4-year-old owner-occupier with an annual personal income of about 0 RMB and a current housing area of about 59.2 sqm.
HuaduGuangmingxiangXiaoqu,A000000026,resident,owner_occupier,1,H000000008,4,4250.88,U000000011,L,95.72,56,84039.38,"You are a 56-year-old owner-occupier with an annual personal income of about 84,039 RMB and a current housing area of about 95.7 sqm."
HuaduGuangmingxiangXiaoqu,A000000027,resident,owner_occupier,1,H000000008,4,4250.88,U000000011,L,95.72,81,46071.5,"You are a 81-year-old owner-occupier with an annual personal income of about 46,072 RMB and a current housing area of about 95.7 sqm."
HuaduGuangmingxiangXiaoqu,A000000028,resident,owner_occupier,1,H000000008,4,4250.88,U000000011,L,95.72,28,56678.45,"You are a 28-year-old owner-occupier with an annual personal income of about 56,678 RMB and a current housing area of about 95.7 sqm."
HuaduGuangmingxiangXiaoqu,A000000029,resident,owner_occupier,1,H000000008,4,4250.88,U000000011,L,95.72,49,43562.17,"You are a 49-year-old owner-occupier with an annual personal income of about 43,562 RMB and a current housing area of about 95.7 sqm."
HuaduGuangmingxiangXiaoqu,A000000030,resident,owner_occupier,1,H000000009,1,5158.11,U000000012,S,64.4,83,29269.19,"You are a 83-year-old owner-occupier with an annual personal income of about 29,269 RMB and a current housing area of about 64.4 sqm."
HuaduGuangmingxiangXiaoqu,A000000031,resident,owner_occupier,1,H000000010,5,7334.83,U000000013,L,124.14,35,100759.32,"You are a 35-year-old owner-occupier with an annual personal income of about 100,759 RMB and a current housing area of about 124.1 sqm."
HuaduGuangmingxiangXiaoqu,A000000032,resident,owner_occupier,1,H000000010,5,7334.83,U000000013,L,124.14,36,108389.41,"You are a 36-year-old owner-occupier with an annual personal income of about 108,389 RMB and a current housing area of about 124.1 sqm."
HuaduGuangmingxiangXiaoqu,A000000033,resident,owner_occupier,1,H000000010,5,7334.83,U000000013,L,124.14,68,56863.57,"You are a 68-year-old owner-occupier with an annual personal income of about 56,864 RMB and a current housing area of about 124.1 sqm."
HuaduGuangmingxiangXiaoqu,A000000034,resident,owner_occupier,1,H000000010,5,7334.83,U000000013,L,124.14,16,78323.64,"You are a 16-year-old owner-occupier with an annual personal income of about 78,324 RMB and a current housing area of about 124.1 sqm."
HuaduGuangmingxiangXiaoqu,A000000035,resident,owner_occupier,1,H000000010,5,7334.83,U000000013,L,124.14,4,0.0,You are a 4-year-old owner-occupier with an annual personal income of about 0 RMB and a current housing area of about 124.1 sqm.
HuaduGuangmingxiangXiaoqu,A000000036,resident,renter,1,H000000011,2,4308.2,U000000014,M,74.25,80,27120.42,"You are a 80-year-old owner-occupier with an annual personal income of about 27,120 RMB and a current housing area of about 74.2 sqm."
HuaduGuangmingxiangXiaoqu,A000000037,resident,renter,1,H000000011,2,4308.2,U000000014,M,74.25,16,44816.2,"You are a 16-year-old owner-occupier with an annual personal income of about 44,816 RMB and a current housing area of about 74.2 sqm."
HuaduGuangmingxiangXiaoqu,A000000038,resident,owner_occupier,1,H000000012,5,9680.47,U000000015,L,101.36,63,105429.96,"You are a 63-year-old owner-occupier with an annual personal income of about 105,430 RMB and a current housing area of about 101.4 sqm."
HuaduGuangmingxiangXiaoqu,A000000039,resident,owner_occupier,1,H000000012,5,9680.47,U000000015,L,101.36,34,129439.74,"You are a 34-year-old owner-occupier with an annual personal income of about 129,440 RMB and a current housing area of about 101.4 sqm."
HuaduGuangmingxiangXiaoqu,A000000040,resident,owner_occupier,1,H000000012,5,9680.47,U000000015,L,101.36,15,78001.41,"You are a 15-year-old owner-occupier with an annual personal income of about 78,001 RMB and a current housing area of about 101.4 sqm."
HuaduGuangmingxiangXiaoqu,A000000041,resident,owner_occupier,1,H000000012,5,9680.47,U000000015,L,101.36,23,97710.84,"You are a 23-year-old owner-occupier with an annual personal income of about 97,711 RMB and a current housing area of about 101.4 sqm."
HuaduGuangmingxiangXiaoqu,A000000042,resident,owner_occupier,1,H000000012,5,9680.47,U000000015,L,101.36,3,0.0,You are a 3-year-old owner-occupier with an annual personal income of about 0 RMB and a current housing area of about 101.4 sqm.
HuaduGuangmingxiangXiaoqu,A000000043,absentee_owner_vacant,owner_occupier,0,,0,10873.85,U000000016,M,73.67,49,130486.25,"You are a 49-year-old vacant owner with an annual personal income of about 130,486 RMB and a current housing area of about 73.7 sqm."
HuaduGuangmingxiangXiaoqu,A000000044,absentee_owner_vacant,owner_occupier,0,,0,19364.28,U000000017,L,105.65,69,232371.33,"You are a 69-year-old vacant owner with an annual personal income of about 232,371 RMB and a current housing area of about 105.7 sqm."
HuaduGuangmingxiangXiaoqu,A000000045,absentee_owner_vacant,owner_occupier,0,,0,21118.4,U000000018,M,80.5,69,253420.76,"You are a 69-year-old vacant owner with an annual personal income of about 253,421 RMB and a current housing area of about 80.5 sqm."
HuaduGuangmingxiangXiaoqu,A000000046,absentee_owner_vacant,owner_occupier,0,,0,12946.62,U000000019,S,53.64,54,155359.49,"You are a 54-year-old vacant owner with an annual personal income of about 155,359 RMB and a current housing area of about 53.6 sqm."
HuaduGuangmingxiangXiaoqu,A000000047,resident,renter,1,H000000013,5,8505.71,U000000020,L,105.19,7,0.0,You are a 7-year-old owner-occupier with an annual personal income of about 0 RMB and a current housing area of about 105.2 sqm.
HuaduGuangmingxiangXiaoqu,A000000048,resident,renter,1,H000000013,5,8505.71,U000000020,L,105.19,18,111682.8,"You are a 18-year-old owner-occupier with an annual personal income of about 111,683 RMB and a current housing area of about 105.2 sqm."
HuaduGuangmingxiangXiaoqu,A000000049,resident,renter,1,H000000013,5,8505.71,U000000020,L,105.19,84,35254.02,"You are a 84-year-old owner-occupier with an annual personal income of about 35,254 RMB and a current housing area of about 105.2 sqm."
HuaduGuangmingxiangXiaoqu,A000000050,resident,renter,1,H000000013,5,8505.71,U000000020,L,105.19,57,130958.31,"You are a 57-year-old owner-occupier with an annual personal income of about 130,958 RMB and a current housing area of about 105.2 sqm."
HuaduGuangmingxiangXiaoqu,A000000051,resident,renter,1,H000000013,5,8505.71,U000000020,L,105.19,60,90891.81,"You are a 60-year-old owner-occupier with an annual personal income of about 90,892 RMB and a current housing area of about 105.2 sqm."
HuaduGuangmingxiangXiaoqu,A000000052,resident,renter,1,H000000014,4,3669.78,U000000021,L,116.41,22,18635.94,"You are a 22-year-old owner-occupier with an annual personal income of about 18,636 RMB and a current housing area of about 116.4 sqm."
HuaduGuangmingxiangXiaoqu,A000000053,resident,renter,1,H000000014,4,3669.78,U000000021,L,116.41,2,0.0,You are a 2-year-old owner-occupier with an annual personal income of about 0 RMB and a current housing area of about 116.4 sqm.
HuaduGuangmingxiangXiaoqu,A000000054,resident,renter,1,H000000014,4,3669.78,U000000021,L,116.41,70,32814.91,"You are a 70-year-old owner-occupier with an annual personal income of about 32,815 RMB and a current housing area of about 116.4 sqm."
HuaduGuangmingxiangXiaoqu,A000000055,resident,renter,1,H000000014,4,3669.78,U000000021,L,116.41,31,33566.56,"You are a 31-year-old owner-occupier with an annual personal income of about 33,567 RMB and a current housing area of about 116.4 sqm."
HuaduGuangmingxiangXiaoqu,A000000056,resident,owner_occupier,1,H000000015,5,7270.64,U000000022,L,99.88,0,0.0,You are a 0-year-old owner-occupier with an annual personal income of about 0 RMB and a current housing area of about 99.9 sqm.
HuaduGuangmingxiangXiaoqu,A000000057,resident,owner_occupier,1,H000000015,5,7270.64,U000000022,L,99.88,45,95667.1,"You are a 45-year-old owner-occupier with an annual personal income of about 95,667 RMB and a current housing area of about 99.9 sqm."
HuaduGuangmingxiangXiaoqu,A000000058,resident,owner_occupier,1,H000000015,5,7270.64,U000000022,L,99.88,1,0.0,You are a 1-year-old owner-occupier with an annual personal income of about 0 RMB and a current housing area of about 99.9 sqm.
HuaduGuangmingxiangXiaoqu,A000000059,resident,owner_occupier,1,H000000015,5,7270.64,U000000022,L,99.88,29,93443.06,"You are a 29-year-old owner-occupier with an annual personal income of about 93,443 RMB and a current housing area of about 99.9 sqm."
HuaduGuangmingxiangXiaoqu,A000000060,resident,owner_occupier,1,H000000015,5,7270.64,U000000022,L,99.88,11,0.0,You are a 11-year-old owner-occupier with an annual personal income of about 0 RMB and a current housing area of about 99.9 sqm.
HuaduGuangmingxiangXiaoqu,A000000061,resident,owner_occupier,1,H000000016,4,6528.58,U000000023,L,105.23,21,70358.77,"You are a 21-year-old owner-occupier with an annual personal income of about 70,359 RMB and a current housing area of about 105.2 sqm."
HuaduGuangmingxiangXiaoqu,A000000062,resident,owner_occupier,1,H000000016,4,6528.58,U000000023,L,105.23,5,0.0,You are a 5-year-old owner-occupier with an annual personal income of about 0 RMB and a current housing area of about 105.2 sqm.
HuaduGuangmingxiangXiaoqu,A000000063,resident,owner_occupier,1,H000000016,4,6528.58,U000000023,L,105.23,62,52830.25,"You are a 62-year-old owner-occupier with an annual personal income of about 52,830 RMB and a current housing area of about 105.2 sqm."
HuaduGuangmingxiangXiaoqu,A000000064,resident,owner_occupier,1,H000000016,4,6528.58,U000000023,L,105.23,22,58001.82,"You are a 22-year-old owner-occupier with an annual personal income of about 58,002 RMB and a current housing area of about 105.2 sqm."
HuaduGuangmingxiangXiaoqu,A000000065,resident,owner_occupier,1,H000000017,3,6731.85,U000000024,M,77.33,54,80278.18,"You are a 54-year-old owner-occupier with an annual personal income of about 80,278 RMB and a current housing area of about 77.3 sqm."
HuaduGuangmingxiangXiaoqu,A000000066,resident,owner_occupier,1,H000000017,3,6731.85,U000000024,M,77.33,16,64664.12,"You are a 16-year-old owner-occupier with an annual personal income of about 64,664 RMB and a current housing area of about 77.3 sqm."
HuaduGuangmingxiangXiaoqu,A000000067,resident,owner_occupier,1,H000000017,3,6731.85,U000000024,M,77.33,38,50696.95,"You are a 38-year-old owner-occupier with an annual personal income of about 50,697 RMB and a current housing area of about 77.3 sqm."
HuaduGuangmingxiangXiaoqu,A000000068,absentee_owner_vacant,owner_occupier,0,,0,19895.79,U000000025,L,110.96,74,238749.43,"You are a 74-year-old vacant owner with an annual personal income of about 238,749 RMB and a current housing area of about 111.0 sqm."
HuaduGuangmingxiangXiaoqu,A000000069,resident,owner_occupier,1,H000000018,5,7810.52,U000000026,L,122.48,27,196899.77,"You are a 27-year-old owner-occupier with an annual personal income of about 196,900 RMB and a current housing area of about 122.5 sqm."
HuaduGuangmingxiangXiaoqu,A000000070,resident,owner_occupier,1,H000000018,5,7810.52,U000000026,L,122.48,49,107904.64,"You are a 49-year-old owner-occupier with an annual personal income of about 107,905 RMB and a current housing area of about 122.5 sqm."
HuaduGuangmingxiangXiaoqu,A000000071,resident,owner_occupier,1,H000000018,5,7810.52,U000000026,L,122.48,72,27093.88,"You are a 72-year-old owner-occupier with an annual personal income of about 27,094 RMB and a current housing area of about 122.5 sqm."
HuaduGuangmingxiangXiaoqu,A000000072,resident,owner_occupier,1,H000000018,5,7810.52,U000000026,L,122.48,57,85114.13,"You are a 57-year-old owner-occupier with an annual personal income of about 85,114 RMB and a current housing area of about 122.5 sqm."
HuaduGuangmingxiangXiaoqu,A000000073,resident,owner_occupier,1,H000000018,5,7810.52,U000000026,L,122.48,52,143781.87,"You are a 52-year-old owner-occupier with an annual personal income of about 143,782 RMB and a current housing area of about 122.5 sqm."
HuaduGuangmingxiangXiaoqu,A000000074,resident,renter,1,H000000019,4,7381.18,U000000027,L,101.99,25,100692.52,"You are a 25-year-old owner-occupier with an annual personal income of about 100,693 RMB and a current housing area of about 102.0 sqm."
HuaduGuangmingxiangXiaoqu,A000000075,resident,renter,1,H000000019,4,7381.18,U000000027,L,101.99,7,0.0,You are a 7-year-old owner-occupier with an annual personal income of about 0 RMB and a current housing area of about 102.0 sqm.
HuaduGuangmingxiangXiaoqu,A000000076,resident,renter,1,H000000019,4,7381.18,U000000027,L,101.99,28,62683.64,"You are a 28-year-old owner-occupier with an annual personal income of about 62,684 RMB and a current housing area of about 102.0 sqm."
HuaduGuangmingxiangXiaoqu,A000000077,resident,renter,1,H000000019,4,7381.18,U000000027,L,101.99,20,56041.51,"You are a 20-year-old owner-occupier with an annual personal income of about 56,042 RMB and a current housing area of about 102.0 sqm."
HuaduGuangmingxiangXiaoqu,A000000078,resident,renter,1,H000000020,3,3866.28,U000000028,M,80.28,12,0.0,You are a 12-year-old owner-occupier with an annual personal income of about 0 RMB and a current housing area of about 80.3 sqm.
HuaduGuangmingxiangXiaoqu,A000000079,resident,renter,1,H000000020,3,3866.28,U000000028,M,80.28,85,30871.78,"You are a 85-year-old owner-occupier with an annual personal income of about 30,872 RMB and a current housing area of about 80.3 sqm."
HuaduGuangmingxiangXiaoqu,A000000080,resident,renter,1,H000000020,3,3866.28,U000000028,M,80.28,32,46482.24,"You are a 32-year-old owner-occupier with an annual personal income of about 46,482 RMB and a current housing area of about 80.3 sqm."
HuaduGuangmingxiangXiaoqu,A000000081,resident,owner_occupier,1,H000000021,1,4171.21,U000000029,S,56.85,84,21783.38,"You are a 84-year-old owner-occupier with an annual personal income of about 21,783 RMB and a current housing area of about 56.9 sqm."
HuaduGuangmingxiangXiaoqu,A000000082,resident,renter,1,H000000022,5,7188.98,U000000030,L,96.63,12,0.0,You are a 12-year-old owner-occupier with an annual personal income of about 0 RMB and a current housing area of about 96.6 sqm.
HuaduGuangmingxiangXiaoqu,A000000083,resident,renter,1,H000000022,5,7188.98,U000000030,L,96.63,64,55651.66,"You are a 64-year-old owner-occupier with an annual personal income of about 55,652 RMB and a current housing area of about 96.6 sqm."
HuaduGuangmingxiangXiaoqu,A000000084,resident,renter,1,H000000022,5,7188.98,U000000030,L,96.63,57,119452.44,"You are a 57-year-old owner-occupier with an annual personal income of about 119,452 RMB and a current housing area of about 96.6 sqm."
HuaduGuangmingxiangXiaoqu,A000000085,resident,renter,1,H000000022,5,7188.98,U000000030,L,96.63,69,40559.27,"You are a 69-year-old owner-occupier with an annual personal income of about 40,559 RMB and a current housing area of about 96.6 sqm."
HuaduGuangmingxiangXiaoqu,A000000086,resident,renter,1,H000000022,5,7188.98,U000000030,L,96.63,17,57164.13,"You are a 17-year-old owner-occupier with an annual personal income of about 57,164 RMB and a current housing area of about 96.6 sqm."
HuaduGuangmingxiangXiaoqu,A000000087,absentee_owner_vacant,owner_occupier,0,,0,17952.34,U000000031,L,116.26,48,215428.03,"You are a 48-year-old vacant owner with an annual personal income of about 215,428 RMB and a current housing area of about 116.3 sqm."
HuaduGuangmingxiangXiaoqu,A000000088,resident,owner_occupier,1,H000000023,3,4914.54,U000000032,M,73.41,81,24641.4,"You are a 81-year-old owner-occupier with an annual personal income of about 24,641 RMB and a current housing area of about 73.4 sqm."
HuaduGuangmingxiangXiaoqu,A000000089,resident,owner_occupier,1,H000000023,3,4914.54,U000000032,M,73.41,37,74206.78,"You are a 37-year-old owner-occupier with an annual personal income of about 74,207 RMB and a current housing area of about 73.4 sqm."
HuaduGuangmingxiangXiaoqu,A000000090,resident,owner_occupier,1,H000000023,3,4914.54,U000000032,M,73.41,3,0.0,You are a 3-year-old owner-occupier with an annual personal income of about 0 RMB and a current housing area of about 73.4 sqm.
HuaduGuangmingxiangXiaoqu,A000000091,absentee_owner_vacant,owner_occupier,0,,0,26550.54,U000000033,M,71.3,45,318606.52,"You are a 45-year-old vacant owner with an annual personal income of about 318,607 RMB and a current housing area of about 71.3 sqm."
HuaduGuangmingxiangXiaoqu,A000000092,absentee_owner_vacant,owner_occupier,0,,0,19427.13,U000000034,M,88.98,45,233125.62,"You are a 45-year-old vacant owner with an annual personal income of about 233,126 RMB and a current housing area of about 89.0 sqm."
HuaduGuangmingxiangXiaoqu,A000000093,resident,owner_occupier,1,H000000024,5,5664.54,U000000035,L,128.8,49,79516.84,"You are a 49-year-old owner-occupier with an annual personal income of about 79,517 RMB and a current housing area of about 128.8 sqm."
HuaduGuangmingxiangXiaoqu,A000000094,resident,owner_occupier,1,H000000024,5,5664.54,U000000035,L,128.8,83,48630.05,"You are a 83-year-old owner-occupier with an annual personal income of about 48,630 RMB and a current housing area of about 128.8 sqm."
HuaduGuangmingxiangXiaoqu,A000000095,resident,owner_occupier,1,H000000024,5,5664.54,U000000035,L,128.8,76,35144.0,"You are a 76-year-old owner-occupier with an annual personal income of about 35,144 RMB and a current housing area of about 128.8 sqm."
HuaduGuangmingxiangXiaoqu,A000000096,resident,owner_occupier,1,H000000024,5,5664.54,U000000035,L,128.8,62,50153.15,"You are a 62-year-old owner-occupier with an annual personal income of about 50,153 RMB and a current housing area of about 128.8 sqm."
HuaduGuangmingxiangXiaoqu,A000000097,resident,owner_occupier,1,H000000024,5,5664.54,U000000035,L,128.8,26,79019.43,"You are a 26-year-old owner-occupier with an annual personal income of about 79,019 RMB and a current housing area of about 128.8 sqm."
HuaduGuangmingxiangXiaoqu,A000000098,resident,owner_occupier,1,H000000025,2,4639.43,U000000036,M,86.17,89,30327.0,"You are a 89-year-old owner-occupier with an annual personal income of about 30,327 RMB and a current housing area of about 86.2 sqm."
HuaduGuangmingxiangXiaoqu,A000000099,resident,owner_occupier,1,H000000025,2,4639.43,U000000036,M,86.17,79,27406.81,"You are a 79-year-old owner-occupier with an annual personal income of about 27,407 RMB and a current housing area of about 86.2 sqm."
HuaduGuangmingxiangXiaoqu,A000000100,resident,owner_occupier,1,H000000026,2,4096.79,U000000037,M,76.09,3,0.0,You are a 3-year-old owner-occupier with an annual personal income of about 0 RMB and a current housing area of about 76.1 sqm.
HuaduGuangmingxiangXiaoqu,A000000101,resident,owner_occupier,1,H000000026,2,4096.79,U000000037,M,76.09,63,39871.89,"You are a 63-year-old owner-occupier with an annual personal income of about 39,872 RMB and a current housing area of about 76.1 sqm."
HuaduGuangmingxiangXiaoqu,A000000102,resident,owner_occupier,1,H000000027,4,4815.33,U000000038,L,98.42,44,68123.1,"You are a 44-year-old owner-occupier with an annual personal income of about 68,123 RMB and a current housing area of about 98.4 sqm."
HuaduGuangmingxiangXiaoqu,A000000103,resident,owner_occupier,1,H000000027,4,4815.33,U000000038,L,98.42,87,26557.12,"You are a 87-year-old owner-occupier with an annual personal income of about 26,557 RMB and a current housing area of about 98.4 sqm."
HuaduGuangmingxiangXiaoqu,A000000104,resident,owner_occupier,1,H000000027,4,4815.33,U000000038,L,98.42,33,68847.19,"You are a 33-year-old owner-occupier with an annual personal income of about 68,847 RMB and a current housing area of about 98.4 sqm."
HuaduGuangmingxiangXiaoqu,A000000105,resident,owner_occupier,1,H000000027,4,4815.33,U000000038,L,98.42,2,0.0,You are a 2-year-old owner-occupier with an annual personal income of about 0 RMB and a current housing area of about 98.4 sqm.
HuaduGuangmingxiangXiaoqu,A000000106,resident,owner_occupier,1,H000000028,5,6194.49,U000000039,L,118.95,48,91398.31,"You are a 48-year-old owner-occupier with an annual personal income of about 91,398 RMB and a current housing area of about 119.0 sqm."
HuaduGuangmingxiangXiaoqu,A000000107,resident,owner_occupier,1,H000000028,5,6194.49,U000000039,L,118.95,29,70868.55,"You are a 29-year-old owner-occupier with an annual personal income of about 70,869 RMB and a current housing area of about 119.0 sqm."
HuaduGuangmingxiangXiaoqu,A000000108,resident,owner_occupier,1,H000000028,5,6194.49,U000000039,L,118.95,11,0.0,You are a 11-year-old owner-occupier with an annual personal income of about 0 RMB and a current housing area of about 119.0 sqm.
HuaduGuangmingxiangXiaoqu,A000000109,resident,owner_occupier,1,H000000028,5,6194.49,U000000039,L,118.95,73,27205.1,"You are a 73-year-old owner-occupier with an annual personal income of about 27,205 RMB and a current housing area of about 119.0 sqm."
HuaduGuangmingxiangXiaoqu,A000000110,resident,owner_occupier,1,H000000028,5,6194.49,U000000039,L,118.95,22,57302.73,"You are a 22-year-old owner-occupier with an annual personal income of about 57,303 RMB and a current housing area of about 119.0 sqm."
HuaduGuangmingxiangXiaoqu,A000000111,resident,owner_occupier,1,H000000029,5,9085.31,U000000040,L,110.41,38,103782.5,"You are a 38-year-old owner-occupier with an annual personal income of about 103,782 RMB and a current housing area of about 110.4 sqm."
HuaduGuangmingxiangXiaoqu,A000000112,resident,owner_occupier,1,H000000029,5,9085.31,U000000040,L,110.41,18,65120.81,"You are a 18-year-old owner-occupier with an annual personal income of about 65,121 RMB and a current housing area of about 110.4 sqm."
HuaduGuangmingxiangXiaoqu,A000000113,resident,owner_occupier,1,H000000029,5,9085.31,U000000040,L,110.41,67,48231.51,"You are a 67-year-old owner-occupier with an annual personal income of about 48,232 RMB and a current housing area of about 110.4 sqm."
HuaduGuangmingxiangXiaoqu,A000000114,resident,owner_occupier,1,H000000029,5,9085.31,U000000040,L,110.41,12,0.0,You are a 12-year-old owner-occupier with an annual personal income of about 0 RMB and a current housing area of about 110.4 sqm.
HuaduGuangmingxiangXiaoqu,A000000115,resident,owner_occupier,1,H000000029,5,9085.31,U000000040,L,110.41,28,145139.96,"You are a 28-year-old owner-occupier with an annual personal income of about 145,140 RMB and a current housing area of about 110.4 sqm."
HuaduGuangmingxiangXiaoqu,A000000116,resident,renter,1,H000000030,5,6817.9,U000000041,L,99.27,73,40230.06,"You are a 73-year-old owner-occupier with an annual personal income of about 40,230 RMB and a current housing area of about 99.3 sqm."
HuaduGuangmingxiangXiaoqu,A000000117,resident,renter,1,H000000030,5,6817.9,U000000041,L,99.27,14,0.0,You are a 14-year-old owner-occupier with an annual personal income of about 0 RMB and a current housing area of about 99.3 sqm.
HuaduGuangmingxiangXiaoqu,A000000118,resident,renter,1,H000000030,5,6817.9,U000000041,L,99.27,75,31443.55,"You are a 75-year-old owner-occupier with an annual personal income of about 31,444 RMB and a current housing area of about 99.3 sqm."
HuaduGuangmingxiangXiaoqu,A000000119,resident,renter,1,H000000030,5,6817.9,U000000041,L,99.27,24,88510.71,"You are a 24-year-old owner-occupier with an annual personal income of about 88,511 RMB and a current housing area of about 99.3 sqm."
